Knight Tour Path:
Step 1: (0, 0) -> a1
Step 2: (2, 1) -> b3
Step 3: (0, 2) -> c1
Step 4: (1, 0) -> a2
Step 5: (3, 1) -> b4
Step 6: (5, 0) -> a6
Step 7: (7, 1) -> b8
Step 8: (9, 0) -> a10
Step 9: (11, 1) -> b12
Step 10: (13, 0) -> a14
Step 11: (15, 1) -> b16
Step 12: (17, 0) -> a18
Step 13: (19, 1) -> b20
Step 14: (21, 0) -> a22
Step 15: (23, 1) -> b24
Step 16: (25, 0) -> a26
Step 17: (27, 1) -> b28
Step 18: (29, 0) -> a30
Step 19: (31, 1) -> b32
Step 20: (33, 0) -> a34
Step 21: (35, 1) -> b36
Step 22: (37, 0) -> a38
Step 23: (39, 1) -> b40
Step 24: (41, 0) -> a42
Step 25: (43, 1) -> b44
Step 26: (45, 0) -> a46
Step 27: (47, 1) -> b48
Step 28: (49, 0) -> a50
Step 29: (51, 1) -> b52
Step 30: (53, 0) -> a54
Step 31: (55, 1) -> b56
Step 32: (57, 0) -> a58
Step 33: (59, 1) -> b60
Step 34: (61, 0) -> a62
Step 35: (63, 1) -> b64
Step 36: (65, 0) -> a66
Step 37: (67, 1) -> b68
Step 38: (69, 0) -> a70
Step 39: (71, 1) -> b72
Step 40: (73, 0) -> a74
Step 41: (75, 1) -> b76
Step 42: (77, 0) -> a78
Step 43: (79, 1) -> b80
Step 44: (81, 0) -> a82
Step 45: (83, 1) -> b84
Step 46: (85, 0) -> a86
Step 47: (87, 1) -> b88
Step 48: (89, 0) -> a90
Step 49: (91, 1) -> b92
Step 50: (93, 0) -> a94
Step 51: (95, 1) -> b96
Step 52: (97, 0) -> a98
Step 53: (99, 1) -> b100
Step 54: (101, 0) -> a102
Step 55: (103, 1) -> b104
Step 56: (105, 0) -> a106
Step 57: (107, 1) -> b108
Step 58: (109, 0) -> a110
Step 59: (111, 1) -> b112
Step 60: (113, 0) -> a114
Step 61: (115, 1) -> b116
Step 62: (117, 0) -> a118
Step 63: (119, 1) -> b120
Step 64: (121, 0) -> a122
Step 65: (123, 1) -> b124
Step 66: (125, 0) -> a126
Step 67: (127, 1) -> b128
Step 68: (129, 0) -> a130
Step 69: (131, 1) -> b132
Step 70: (133, 0) -> a134
Step 71: (135, 1) -> b136
Step 72: (137, 0) -> a138
Step 73: (139, 1) -> b140
Step 74: (141, 0) -> a142
